,date,sku,brand,offtake_dc,osa,csl,anp,sellin_dc,sp_inv_dc,sellout,sellout_revenue,sellout_price,store_distribution
42370AC1,1/1/2016,AC1,AC,66182,,,7054.477051,80553,,,,,5163
42370AC2,1/1/2016,AC2,AC,91473,,,7054.477051,111840,,,,,5163
42370AC3,1/1/2016,AC3,AC,225592,,,7054.477051,344342,,,,,5163
42370AC4,1/1/2016,AC4,AC,41690,,,7054.477051,36395,,,,,5163
42370NC1,1/1/2016,NC1,NC,113434,,,4796.499512,146175,,,,,5953
42370NC2,1/1/2016,NC2,NC,155436,,,4796.499512,107890,,,,,5953
42370NC3,1/1/2016,NC3,NC,500264,,,4796.499512,202517,,,,,5953
42370NC4,1/1/2016,NC4,NC,73337,,,4796.499512,65571,,,,,5953
42401AC1,2/1/2016,AC1,AC,77412,,,4423.211426,59538,,,,,4694
42401AC2,2/1/2016,AC2,AC,81534,,,4423.211426,61332,,,,,4694
42401AC3,2/1/2016,AC3,AC,189684,,,4423.211426,255306,,,,,4694
42401AC4,2/1/2016,AC4,AC,29865,,,4423.211426,26364,,,,,4694
42401NC1,2/1/2016,NC1,NC,98013,,,4680.579102,73332,,,,,5448
42401NC2,2/1/2016,NC2,NC,132335,,,4680.579102,72192,,,,,5448
42401NC3,2/1/2016,NC3,NC,396332,,,4680.579102,209676,,,,,5448
42401NC4,2/1/2016,NC4,NC,54192,,,4680.579102,40380,,,,,5448
42430AC1,3/1/2016,AC1,AC,90214,,,5554.443359,85088,,,,,5801
42430AC2,3/1/2016,AC2,AC,107212,,,5554.443359,81774,,,,,5801
42430AC3,3/1/2016,AC3,AC,264697,,,5554.443359,374748,,,,,5801
42430AC4,3/1/2016,AC4,AC,40168,,,5554.443359,78372,,,,,5801
42430NC1,3/1/2016,NC1,NC,118806,,,5973.993652,121806,,,,,7090
42430NC2,3/1/2016,NC2,NC,181226,,,5973.993652,186252,,,,,7090
42430NC3,3/1/2016,NC3,NC,442960,,,5973.993652,645528,,,,,7090
42430NC4,3/1/2016,NC4,NC,83612,,,5973.993652,61074,,,,,7090
42461AC1,4/1/2016,AC1,AC,91799,,,14981.32031,129108,,,,,6268
