,sku_wo_pkg,country,brand,tier,stage,stage_3f,date,offtake_di,offtake_eib,offtake_il,sellin_eib,retailer_inv,sellout,sp_inv,sellin_di,isa,osa,price,price_krmb_per_ton_il,value_krmb_il,volume_ton_il,total_vol,if_vol,fo_vol,gum_vol,cl_vol,il_vol,0to6_month_population,6to12_month_population,12to36_month_population,sellin_il
0,ANZ_APT_PF_1,ANZ,APT,PF,1,IF,2015-01-01,0.0,17.806764894086136,17.806764894086136,,,,,,,,,,,,39042.3268505593,8741.435902085508,9525.64896568037,20775.2419827935,31617.7394345573,7424.58741600207,955.4795299999988,729.71824,3279.14799,0.0
1,ANZ_APT_PF_1,ANZ,APT,PF,1,IF,2015-02-01,0.0,26.277084275469214,26.277084275469214,,,,,,,,,,,,32622.7430477304,7702.10624243006,7981.975852784391,16938.660952516002,27172.175550815697,5450.567496914729,968.707219999999,713.8548,3283.47062,0.0
2,ANZ_APT_PF_1,ANZ,APT,PF,1,IF,2015-03-01,0.0,17.781471399968947,17.781471399968947,,,,,,,,,,,,37066.3584923561,8528.62462578114,9173.95216609562,19363.7817004793,29534.4331679898,7531.92532436625,981.792149999999,698.160119999999,3287.75061,0.0
3,ANZ_APT_PF_1,ANZ,APT,PF,1,IF,2015-04-01,0.0,15.347872058857966,15.347872058857966,,,,,,,,,,,,34382.015415391295,7659.8330450147305,8727.83794044919,17994.3444299274,27140.653366047,7241.362049344229,950.675439999999,727.0180799999989,3291.45496,0.0
4,ANZ_APT_PF_1,ANZ,APT,PF,1,IF,2015-05-01,0.0,20.600433261836194,20.600433261836194,,,,,,,,,,,,34411.8245172414,7198.01419642975,8837.91571341536,18375.894607396298,27640.4335544311,6771.390962810339,827.6137799999989,847.850239999999,3295.11134,0.0
5,ANZ_APT_PF_1,ANZ,APT,PF,1,IF,2015-06-01,0.0,20.81560582168245,20.81560582168245,,,,,,,,,,,,35125.1496740349,7064.93550174134,8978.20836111013,19082.0058111834,28434.8710262746,6690.2786477603,745.29153,928.0112399999988,3298.65579,0.0
6,ANZ_APT_PF_1,ANZ,APT,PF,1,IF,2015-07-01,0.0,20.132164562127702,20.132164562127702,,,,,,,,,,,,33896.626559901204,6882.52861715919,8792.59905383538,18221.4988889066,27170.9074319775,6725.71912792369,715.66524,955.4795299999988,3302.19491,0.0
7,ANZ_APT_PF_1,ANZ,APT,PF,1,IF,2015-08-01,0.0,13.939758971654696,13.939758971654696,,,,,,,,,,,,36275.243812118395,7153.590151595409,9285.93182750606,19835.721833016898,27861.5397901605,8413.70402195793,700.1073,968.707219999999,3306.01652,0.0
8,ANZ_APT_PF_1,ANZ,APT,PF,1,IF,2015-09-01,0.0,11.192208435594456,11.192208435594456,,,,,,,,,,,,35884.242253666096,7197.61488564048,9052.13499519315,19634.4923728325,27155.671278639198,8728.57097502692,684.71487,981.792149999999,3309.80082,0.0
9,ANZ_APT_PF_1,ANZ,APT,PF,1,IF,2015-10-01,0.0,13.546300090379498,13.546300090379498,,,,,,,,,,,,36752.8319917234,7246.95270919215,9341.25760977423,20164.621672757,28278.3189775475,8474.5130141759,713.01708,950.675439999999,3314.4166,0.0
10,ANZ_APT_PF_1,ANZ,APT,PF,1,IF,2015-11-01,0.0,8.277571283809475,8.277571283809475,,,,,,,,,,,,42653.338512534,6929.96390465447,10158.1464143345,25565.228193545,33378.6713708973,9274.66714163675,831.52224,827.6137799999989,3321.88926,0.0
11,ANZ_APT_PF_1,ANZ,APT,PF,1,IF,2015-12-01,0.0,34.49265186745389,34.49265186745389,,,,,,,,,,,,36691.796780951605,7049.67769841591,8726.72715828838,20915.3919242473,28561.7736650958,8130.02311585578,910.13949,745.29153,3327.9654600000013,0.0
12,ANZ_APT_PF_1,ANZ,APT,PF,1,IF,2016-01-01,0.0,12.073037435887985,12.073037435887985,49.72900009155274,0.0,0.0,0.0,0.0,,,,,,,38324.3618725204,7309.65329058042,8950.67828635383,22064.030295586093,30867.4081180073,7456.953754513109,950.7500699999999,715.66524,3329.26368,49.72900009155274
13,ANZ_APT_PF_1,ANZ,APT,PF,1,IF,2016-02-01,0.0,22.34315720793067,22.34315720793067,3.733200073242188,0.0,0.0,0.0,0.0,,,,,,,30753.2815813165,6457.703696104971,6998.20824466223,17297.3696405493,24582.355449721803,6170.9261315947315,976.87534,700.1073,3330.51262,3.733200073242188
14,ANZ_APT_PF_1,ANZ,APT,PF,1,IF,2016-03-01,0.0,30.3679567333322,30.3679567333322,25.134300231933594,0.0,0.0,0.0,0.0,,,,,,,37020.4966905489,7533.994697703521,8507.87618736095,20978.6258054844,28424.5704977881,8595.9261927608,1002.73086,684.71487,3331.7492399999996,25.134300231933594
15,ANZ_APT_PF_1,ANZ,APT,PF,1,IF,2016-04-01,0.0,28.236295161110093,28.236295161110093,27.87360000610352,0.0,0.0,0.0,0.0,,,,,,,34940.6716351337,7108.699248709841,7858.72545138917,19973.2469350347,26855.3531771974,8085.318457936371,983.4845,713.01708,3332.81954,27.87360000610352
16,ANZ_APT_PF_1,ANZ,APT,PF,1,IF,2016-05-01,0.0,30.860399351863247,30.860399351863247,23.92099952697754,0.0,0.0,0.0,0.0,,,,,,,36129.4957650516,7106.00067933413,7996.32236222729,21027.1727234902,28040.1305749052,8089.36519014644,873.91792,831.52224,3333.875980000001,23.92099952697754
17,ANZ_APT_PF_1,ANZ,APT,PF,1,IF,2016-06-01,0.0,35.032885257225864,35.032885257225864,34.97990036010742,0.0,0.0,0.0,0.0,,,,,,,35940.1713341321,7051.723857188829,8068.156481087181,20820.2909958561,28382.9233276142,7557.248006517959,803.9656200000003,910.13949,3334.90008,34.97990036010742
18,ANZ_APT_PF_1,ANZ,APT,PF,1,IF,2016-07-01,0.0,27.50033155774418,27.50033155774418,46.66019821166992,0.0,0.0,0.0,0.0,,,,,,,33109.017421142795,6712.49294531177,7447.4027245341085,18949.121751296898,26222.1686256248,6886.84879551793,772.0069599999997,950.7500699999999,3335.92264,46.66019821166992
19,ANZ_APT_PF_1,ANZ,APT,PF,1,IF,2016-08-01,0.0,34.14815673271776,34.14815673271776,59.94139862060547,0.0,0.0,0.0,0.0,,,,,,,34282.196355192005,6948.05951485643,7520.78389790866,19813.3529424269,27274.104879145,7008.091476047021,755.2242,976.87534,3337.02682,59.94139862060547
20,ANZ_APT_PF_1,ANZ,APT,PF,1,IF,2016-09-01,0.0,44.27074040698271,44.27074040698271,74.47940063476562,0.0,0.0,0.0,0.0,,,,,,,34806.1295922557,7142.2050236491505,7563.659641850559,20100.264926756,27307.034329203998,7499.09526305174,738.6199799999997,1002.73086,3338.12022,74.47940063476562
21,ANZ_APT_PF_1,ANZ,APT,PF,1,IF,2016-10-01,0.0,44.65206004267703,44.65206004267703,34.916000366210945,0.0,0.0,0.0,0.0,,,,,,,35974.574081445,7342.583355478359,7987.820046508041,20644.170679458603,28845.1263885275,7129.44769291751,769.15032,983.4845,3339.45386,34.916000366210945
22,ANZ_APT_PF_1,ANZ,APT,PF,1,IF,2016-11-01,0.0,37.76912747182258,37.76912747182258,59.97579956054688,0.0,0.0,0.0,0.0,,,,,,,41276.287620921095,7645.74721055808,8787.23255843225,24843.3078519307,32719.99672298189,8556.29089793917,896.98496,873.91792,3341.612939999989,59.97579956054688
23,ANZ_APT_PF_1,ANZ,APT,PF,1,IF,2016-12-01,0.0,51.762840299540215,51.762840299540215,89.90019989013672,0.0,0.0,0.0,0.0,,,,,,,36220.894051549396,7897.278776224522,7913.97946399833,20409.6358113266,27824.0180802613,8396.875971288171,981.7914599999999,803.9656200000003,3343.368539999989,89.90019989013672
24,ANZ_APT_PF_1,ANZ,APT,PF,1,IF,2017-01-01,0.0,45.306593165288156,45.306593165288156,73.6239013671875,0.0,0.0,3.024,3.024,-1.0,0.8855499923229218,213.85446166992188,203.6790900230408,1198830.0,6447.0,39305.8043654325,8263.32133818222,8649.54776350186,22392.935263748397,31480.1282962918,7825.67606914065,1008.51509,772.0069599999997,3351.6130799999896,76.6479013671875
25,ANZ_APT_PF_1,ANZ,APT,PF,1,IF,2017-02-01,0.05400000000000001,60.51917421374733,60.573174213747336,85.57430267333984,1.5119999999999998,1.5659999999999998,1.4580000000000002,0.0,-1.0,0.8867750018835068,205.1802062988281,207.1672396659851,1173699.0,6358.0,32203.8196465511,7283.972515958721,7528.559939858471,17391.287190733998,24628.4692099677,7575.3504365834,1020.2615400000001,755.2242,3359.5446599999896,85.57430267333984
26,ANZ_APT_PF_1,ANZ,APT,PF,1,IF,2017-03-01,2.8953,81.61106698560819,84.50636698560818,64.9364013671875,2.7801,4.1634,0.3105,3.0159,-1.0,0.8000799894332886,227.85801696777344,210.6234941482544,1266246.0,6798.0,37442.4017424286,8153.84730659772,8609.37542270433,20679.1790131266,28385.4794340684,9056.92230836027,1031.87913,738.6199799999997,3367.3979999999897,67.9523013671875
27,ANZ_APT_PF_1,ANZ,APT,PF,1,IF,2017-04-01,0.5202,78.93190143557571,79.4521014355757,93.6768035888672,2.4633,0.2034,8.4231,8.316,-1.0,0.7059999942779541,235.5537872314453,200.6821943918864,1278719.7333831787,6471.538530848921,35620.1278389657,7565.1811014371315,8290.96474288702,19763.9819946416,27028.3256978117,8591.802141154041,997.0328400000001,769.15032,3374.195099999989,101.9928035888672
