date,sku,brand,offtake_dc,osa,csl,anp,sellin_dc,sp_inv_dc,sellout,sellout_revenue,sellout_price,store_distribution
2016-01-01,AC1,AC,85100.0,,,7054.47705078125,82063.0,,,,,5163.0
2016-01-01,AC2,AC,96270.0,,,7054.47705078125,127923.0,,,,,5163.0
2016-01-01,AC3,AC,317892.0,,,7054.47705078125,347308.0,,,,,5163.0
2016-01-01,AC4,AC,43050.0,,,7054.47705078125,35545.0,,,,,5163.0
2016-01-01,NC1,NC,109587.0,,,4796.49951171875,162712.0,,,,,5953.0
2016-01-01,NC2,NC,126885.0,,,4796.49951171875,152672.0,,,,,5953.0
2016-01-01,NC3,NC,625363.0,,,4796.49951171875,205607.0,,,,,5953.0
2016-01-01,NC4,NC,53570.0,,,4796.49951171875,65769.0,,,,,5953.0
2016-02-01,AC1,AC,68356.0,,,4423.21142578125,71625.0,,,,,4694.0
2016-02-01,AC2,AC,59789.0,,,4423.21142578125,69507.0,,,,,4694.0
2016-02-01,AC3,AC,175257.0,,,4423.21142578125,267067.0,,,,,4694.0
2016-02-01,AC4,AC,25480.0,,,4423.21142578125,27036.0,,,,,4694.0
2016-02-01,NC1,NC,76001.0,,,4680.5791015625,75835.0,,,,,5448.0
2016-02-01,NC2,NC,85542.0,,,4680.5791015625,62790.0,,,,,5448.0
2016-02-01,NC3,NC,305757.0,,,4680.5791015625,252589.0,,,,,5448.0
2016-02-01,NC4,NC,33433.0,,,4680.5791015625,39823.0,,,,,5448.0
2016-03-01,AC1,AC,85489.0,,,5554.443359375,73197.0,,,,,5801.0
2016-03-01,AC2,AC,98411.0,,,5554.443359375,77279.0,,,,,5801.0
2016-03-01,AC3,AC,310841.0,,,5554.443359375,363417.0,,,,,5801.0
2016-03-01,AC4,AC,41923.0,,,5554.443359375,77428.0,,,,,5801.0
2016-03-01,NC1,NC,114558.0,,,5973.99365234375,121126.0,,,,,7090.0
2016-03-01,NC2,NC,167661.0,,,5973.99365234375,155484.0,,,,,7090.0
