date,sku_wo_pkg,offtake_di,offtake_eib,offtake_il,sellin_eib,retailer_inv,sellout,sp_inv,sellin_di,isa,osa,price,price_krmb_per_ton_il,value_krmb_il,volume_ton_il,total_vol,if_vol,fo_vol,gum_vol,cl_vol,il_vol,0to6_month_population,6to12_month_population,12to36_month_population,sellin_il
2015-01-01,ANZ_KC_GT_2,0.0,4.550983589979296e-09,4.550983589979296e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5930286180228e-07,-8.550887287128717e-08,3.196291800122708e-07,-2.7934984245803207e-06,-4.557299689622596e-06,-2.0709194359369576e-09,1.2505552149377763e-12,0.0,0.0,0.0
2015-01-01,ANZ_KC_GT_3,0.0,6.504841110199777e-10,6.504841110199777e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5930286180228e-07,-8.550887287128717e-08,3.196291800122708e-07,-2.7934984245803207e-06,-4.557299689622596e-06,-2.0709194359369576e-09,1.2505552149377763e-12,0.0,0.0,0.0
2015-01-01,DE_APT_PF_1,0.0,-8.965272968453064e-11,-8.965272968453064e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5930286180228e-07,-8.550887287128717e-08,3.196291800122708e-07,-2.7934984245803207e-06,-4.557299689622596e-06,-2.0709194359369576e-09,1.2505552149377763e-12,0.0,0.0,0.0
2015-01-01,DE_APT_PF_2,0.0,-1.2575327446029405e-09,-1.2575327446029405e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5930286180228e-07,-8.550887287128717e-08,3.196291800122708e-07,-2.7934984245803207e-06,-4.557299689622596e-06,-2.0709194359369576e-09,1.2505552149377763e-12,0.0,0.0,0.0
2015-01-01,DE_APT_PF_PRE,0.0,-3.4787284164394805e-10,-3.4787284164394805e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5930286180228e-07,-8.550887287128717e-08,3.196291800122708e-07,-2.7934984245803207e-06,-4.557299689622596e-06,-2.0709194359369576e-09,1.2505552149377763e-12,0.0,0.0,0.0
2015-01-01,DE_APT_PN_1,0.0,-2.4185737856896594e-08,-2.4185737856896594e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5930286180228e-07,-8.550887287128717e-08,3.196291800122708e-07,-2.7934984245803207e-06,-4.557299689622596e-06,-2.0709194359369576e-09,1.2505552149377763e-12,0.0,0.0,0.0
2015-01-01,DE_APT_PN_2,0.0,1.3657114550369442e-08,1.3657114550369442e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5930286180228e-07,-8.550887287128717e-08,3.196291800122708e-07,-2.7934984245803207e-06,-4.557299689622596e-06,-2.0709194359369576e-09,1.2505552149377763e-12,0.0,0.0,0.0
2015-01-01,DE_APT_PN_3,0.0,-2.2149976075525046e-08,-2.2149976075525046e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5930286180228e-07,-8.550887287128717e-08,3.196291800122708e-07,-2.7934984245803207e-06,-4.557299689622596e-06,-2.0709194359369576e-09,1.2505552149377763e-12,0.0,0.0,0.0
2015-01-01,DE_APT_PN_4,0.0,-1.4220717048374354e-08,-1.4220717048374354e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5930286180228e-07,-8.550887287128717e-08,3.196291800122708e-07,-2.7934984245803207e-06,-4.557299689622596e-06,-2.0709194359369576e-09,1.2505552149377763e-12,0.0,0.0,0.0
2015-01-01,DE_APT_PN_5,0.0,4.4749697281076806e-09,4.4749697281076806e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5930286180228e-07,-8.550887287128717e-08,3.196291800122708e-07,-2.7934984245803207e-06,-4.557299689622596e-06,-2.0709194359369576e-09,1.2505552149377763e-12,0.0,0.0,0.0
2015-01-01,DE_APT_PN_PRE,0.0,-3.34224239395553e-08,-3.34224239395553e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5930286180228e-07,-8.550887287128717e-08,3.196291800122708e-07,-2.7934984245803207e-06,-4.557299689622596e-06,-2.0709194359369576e-09,1.2505552149377763e-12,0.0,0.0,0.0
2015-01-01,NL_NC_PN_1,0.0,3.051968633371871e-08,3.051968633371871e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5930286180228e-07,-8.550887287128717e-08,3.196291800122708e-07,-2.7934984245803207e-06,-4.557299689622596e-06,-2.0709194359369576e-09,1.2505552149377763e-12,0.0,0.0,0.0
2015-01-01,NL_NC_PN_2,0.0,1.858563791756751e-08,1.858563791756751e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5930286180228e-07,-8.550887287128717e-08,3.196291800122708e-07,-2.7934984245803207e-06,-4.557299689622596e-06,-2.0709194359369576e-09,1.2505552149377763e-12,0.0,0.0,0.0
2015-01-01,NL_NC_PN_3,0.0,7.218147857201984e-09,7.218147857201984e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5930286180228e-07,-8.550887287128717e-08,3.196291800122708e-07,-2.7934984245803207e-06,-4.557299689622596e-06,-2.0709194359369576e-09,1.2505552149377763e-12,0.0,0.0,0.0
2015-01-01,NL_NC_PN_4,0.0,-2.0198910988256102e-08,-2.0198910988256102e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5930286180228e-07,-8.550887287128717e-08,3.196291800122708e-07,-2.7934984245803207e-06,-4.557299689622596e-06,-2.0709194359369576e-09,1.2505552149377763e-12,0.0,0.0,0.0
2015-01-01,NL_NC_PN_5,0.0,2.0476988993323175e-08,2.0476988993323175e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5930286180228e-07,-8.550887287128717e-08,3.196291800122708e-07,-2.7934984245803207e-06,-4.557299689622596e-06,-2.0709194359369576e-09,1.2505552149377763e-12,0.0,0.0,0.0
2015-01-01,NL_NC_PN_6,0.0,-4.949498588757706e-09,-4.949498588757706e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5930286180228e-07,-8.550887287128717e-08,3.196291800122708e-07,-2.7934984245803207e-06,-4.557299689622596e-06,-2.0709194359369576e-09,1.2505552149377763e-12,0.0,0.0,0.0
2015-01-01,UK_APT_PF_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5930286180228e-07,-8.550887287128717e-08,3.196291800122708e-07,-2.7934984245803207e-06,-4.557299689622596e-06,-2.0709194359369576e-09,1.2505552149377763e-12,0.0,0.0,0.0
2015-01-01,UK_APT_PF_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5930286180228e-07,-8.550887287128717e-08,3.196291800122708e-07,-2.7934984245803207e-06,-4.557299689622596e-06,-2.0709194359369576e-09,1.2505552149377763e-12,0.0,0.0,0.0
2015-01-01,UK_APT_PF_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5930286180228e-07,-8.550887287128717e-08,3.196291800122708e-07,-2.7934984245803207e-06,-4.557299689622596e-06,-2.0709194359369576e-09,1.2505552149377763e-12,0.0,0.0,0.0
