date,sku,brand,offtake_dc,osa,csl,anp,sellin_dc,sp_inv_dc,sellout,sellout_revenue,sellout_price,store_distribution
1/1/2016,AC1,AC,85100,,,7054.477051,82063,,,,,5163
1/1/2016,AC2,AC,96270,,,7054.477051,127923,,,,,5163
1/1/2016,AC3,AC,317892,,,7054.477051,347308,,,,,5163
1/1/2016,AC4,AC,43050,,,7054.477051,35545,,,,,5163
1/1/2016,NC1,NC,109587,,,4796.499512,162712,,,,,5953
1/1/2016,NC2,NC,126885,,,4796.499512,152672,,,,,5953
1/1/2016,NC3,NC,625363,,,4796.499512,205607,,,,,5953
1/1/2016,NC4,NC,53570,,,4796.499512,65769,,,,,5953
2/1/2016,AC1,AC,68356,,,4423.211426,71625,,,,,4694
2/1/2016,AC2,AC,59789,,,4423.211426,69507,,,,,4694
2/1/2016,AC3,AC,175257,,,4423.211426,267067,,,,,4694
2/1/2016,AC4,AC,25480,,,4423.211426,27036,,,,,4694
2/1/2016,NC1,NC,76001,,,4680.579102,75835,,,,,5448
2/1/2016,NC2,NC,85542,,,4680.579102,62790,,,,,5448
2/1/2016,NC3,NC,305757,,,4680.579102,252589,,,,,5448
2/1/2016,NC4,NC,33433,,,4680.579102,39823,,,,,5448
3/1/2016,AC1,AC,85489,,,5554.443359,73197,,,,,5801
3/1/2016,AC2,AC,98411,,,5554.443359,77279,,,,,5801
3/1/2016,AC3,AC,310841,,,5554.443359,363417,,,,,5801
3/1/2016,AC4,AC,41923,,,5554.443359,77428,,,,,5801
3/1/2016,NC1,NC,114558,,,5973.993652,121126,,,,,7090
3/1/2016,NC2,NC,167661,,,5973.993652,155484,,,,,7090
3/1/2016,NC3,NC,626517,,,5973.993652,605490,,,,,7090
3/1/2016,NC4,NC,58079,,,5973.993652,61122,,,,,7090
4/1/2016,AC1,AC,97836,,,14981.32031,129062,,,,,6268
4/1/2016,AC2,AC,113975,,,14981.32031,100545,,,,,6268
4/1/2016,AC3,AC,361824,,,14981.32031,300266,,,,,6268
4/1/2016,AC4,AC,51715,,,14981.32031,45772,,,,,6268
4/1/2016,NC1,NC,99669,,,19555.60156,22312,,,,,6634
4/1/2016,NC2,NC,126472,,,19555.60156,87253,,,,,6634
4/1/2016,NC3,NC,527059,,,19555.60156,463872,,,,,6634
4/1/2016,NC4,NC,54016,,,19555.60156,85632,,,,,6634
5/1/2016,AC1,AC,83884,,,36136.36719,14056,,,,,6167
5/1/2016,AC2,AC,140284,,,36136.36719,117969,,,,,6167
5/1/2016,AC3,AC,308042,,,36136.36719,412464,,,,,6167
5/1/2016,AC4,AC,42289,,,36136.36719,40705,,,,,6167
5/1/2016,NC1,NC,91714,,,27711.02344,112635,,,,,7082
5/1/2016,NC2,NC,174718,,,27711.02344,92565,,,,,7082
5/1/2016,NC3,NC,631983,,,27711.02344,976080,,,,,7082
5/1/2016,NC4,NC,61090,,,27711.02344,60114,,,,,7082
6/1/2016,AC1,AC,78421,,,30825.29883,61086,,,,,6902
6/1/2016,AC2,AC,68995,,,30825.29883,87438,,,,,6902
6/1/2016,AC3,AC,418726,,,30825.29883,189120,,,,,6902
6/1/2016,AC4,AC,57468,,,30825.29883,53640,,,,,6902
6/1/2016,NC1,NC,119416,,,27888.24609,130392,,,,,7807
6/1/2016,NC2,NC,88043,,,27888.24609,136818,,,,,7807
6/1/2016,NC3,NC,747545,,,27888.24609,616716,,,,,7807
6/1/2016,NC4,NC,87633,,,27888.24609,85728,,,,,7807
7/1/2016,AC1,AC,100438,,,9544.845703,118868,,,,,6958
7/1/2016,AC2,AC,81247,,,9544.845703,51720,,,,,6958
7/1/2016,AC3,AC,331848,,,9544.845703,377478,,,,,6958
7/1/2016,AC4,AC,36745,,,9544.845703,35705,,,,,6958
7/1/2016,NC1,NC,109182,,,8102.100098,140682,,,,,7350
7/1/2016,NC2,NC,117907,,,8102.100098,98397,,,,,7350
7/1/2016,NC3,NC,373536,,,8102.100098,493657,,,,,7350
7/1/2016,NC4,NC,52184,,,8102.100098,69188,,,,,7350
8/1/2016,AC1,AC,103942,,,25882.50781,121684,,,,,7492
8/1/2016,AC2,AC,104473,,,25882.50781,67575,,,,,7492
8/1/2016,AC3,AC,418723,,,25882.50781,417505,,,,,7492
