SKU_Key,Group,Country,Brand,Brand_acc,Sub-brand,SKU,Stage,Description CN,Description EN
KG GOAT 3,IL,ANZ,Karicare,KC,ANZ KC GOAT,KG GOAT 3,GUM,澳大利亚可瑞康羊奶粉3段,KARICARE GOAT 3
4-Jan,DC,CN,NC,NC,NC,4-Jan,IF/FO/GUM,,
4-Jan,DC,CN,AC,APT,AC,4-Jan,IF/FO/GUM,,
4-Jan,DC,CN,AP,APT,AP 1.0,4-Jan,IF/FO/GUM,,
4-Jan,DC,CN,AP,APT,AP 2.0,4-Jan,IF/FO/GUM,,
4-Jan,DC,CN,AP,APT,AP Tornado,4-Jan,IF/FO/GUM,,
4-Jan,DC,CN,C&G,APT,C&G,4-Jan,IF/FO/GUM,,
APT DE PF EZP PRE,DI,DE,Aptamil,APT,DE PF,APT DE PF EZP PRE,IF,,
APT DE PF EZP S1,DI,DE,Aptamil,APT,DE PF,APT DE PF EZP S1,IF,,
APT DE PF EZP S2,DI,DE,Aptamil,APT,DE PF,APT DE PF EZP S2,FO,,
APT DE PN EZP PRE,DI,DE,Aptamil,APT,DE PN,APT DE PN EZP PRE,IF,,
APT DE PN EZP S1,DI,DE,Aptamil,APT,DE PN,APT DE PN EZP S1,IF,,
APT DE PN EZP S2,DI,DE,Aptamil,APT,DE PN,APT DE PN EZP S2,FO,,
APT DE PN EZP S3,DI,DE,Aptamil,APT,DE PN,APT DE PN EZP S3,FO,,
APT DE PN BIB S4,DI,DE,Aptamil,APT,DE PN,APT DE PN BIB S4,GUM,,
APT DE PN BIB S5,DI,DE,Aptamil,APT,DE PN,APT DE PN BIB S5,GUM,,
C&G UK S1,DI,UK,C&G,C&G,UK C&G,C&G UK S1,IF,,
C&G UK S2,DI,UK,C&G,C&G,UK C&G,C&G UK S2,FO,,
C&G UK S3,DI,UK,C&G,C&G,UK C&G,C&G UK S3,GUM,,
C&G UK S4,DI,UK,C&G,C&G,UK C&G,C&G UK S4,GUM,,
APT UK PN S1,DI,UK,Aptamil,APT,UK APT  PN,APT UK PN S1,IF,,
APT UK PN S2,DI,UK,Aptamil,APT,UK APT  PN,APT UK PN S2,FO,,
APT UK PN S3,DI,UK,Aptamil,APT,UK APT  PN,APT UK PN S3,GUM,,
APT UK PN S4,DI,UK,Aptamil,APT,UK APT  PN,APT UK PN S4,GUM,,
APT ANZ PN S1,DI,ANZ,Aptamil,APT,ANZ APT  PN,APT ANZ PN S1,IF,,
APT ANZ PN S2,DI,ANZ,Aptamil,APT,ANZ APT  PN,APT ANZ PN S2,FO,,
APT ANZ PN S3,DI,ANZ,Aptamil,APT,ANZ APT  PN,APT ANZ PN S3,GUM,,
APT ANZ PN S4,DI,ANZ,Aptamil,APT,ANZ APT  PN,APT ANZ PN S4,GUM,,
APT ANZ PF S1,DI,ANZ,Aptamil,APT,ANZ APT  PF,APT ANZ PF S1,IF,,
APT ANZ PF S2,DI,ANZ,Aptamil,APT,ANZ APT  PF,APT ANZ PF S2,FO,,
APT ANZ PF S3,DI,ANZ,Aptamil,APT,ANZ APT  PF,APT ANZ PF S3,GUM,,
APT ANZE72PF S4,DI,ANZ,Aptamil,APT,ANZ APT  PF,APT ANZE72PF S4,GUM,,
APT DE PN JB PRE,DI,DE,Aptamil,APT,DE PN,APT DE PN JB PRE,IF,,
APT DE PN JB S1,DI,DE,Aptamil,APT,DE PN,APT DE PN JB S1,IF,,
APT DE PN JB S2,DI,DE,Aptamil,APT,DE PN,APT DE PN JB S2,FO,,
APT DE PN JB S3,DI,DE,Aptamil,APT,DE PN,APT DE PN JB S3,FO,,
APT DE PN JB S4,DI,DE,Aptamil,APT,DE PN,APT DE PN JB S4,GUM,,
APT DE PN JB S5,DI,DE,Aptamil,APT,DE PN,APT DE PN JB S5,GUM,,
Nutrilon JB S1,DI,NL,Nutrilon,NC,NC,Nutrilon JB S1,IF,,
Nutrilon JB S2,DI,NL,Nutrilon,NC,NC,Nutrilon JB S2,IF,,
Nutrilon JB S3,DI,NL,Nutrilon,NC,NC,Nutrilon JB S3,FO,,
Nutrilon JB S4,DI,NL,Nutrilon,NC,NC,Nutrilon JB S4,FO,,
Nutrilon JB S5,DI,NL,Nutrilon,NC,NC,Nutrilon JB S5,GUM,,
Nutrilon EZP S1,DI,NL,Nutrilon,NC,NC,Nutrilon EZP S1,IF,,
Nutrilon EZP S2,DI,NL,Nutrilon,NC,NC,Nutrilon EZP S2,IF,,
Nutrilon EZP S3,DI,NL,Nutrilon,NC,NC,Nutrilon EZP S3,FO,,
Nutrilon EZP S4,DI,NL,Nutrilon,NC,NC,Nutrilon EZP S4,FO,,
Nutrilon EZP S5,DI,NL,Nutrilon,NC,NC,Nutrilon EZP S5,GUM,,
