Brand,Brand_acc,,Tier,Tier_acc,,Stage,Stage_acc,,Package,Package_acc,,SKU_wo_pkg,Stage_text,,SKU_std,Format (g),,,SKU_std,SKU_wo_pkg,Scope,,SKU_std,SKU_wo_pkg,Scope,SKU_std,SKU_wo_pkg,SKU No
,,,,,,6,6,,,,,ANZ_KC_PL_4,GUM,,ANZ_KC_PL_CAN_4,900,,,ANZ_KC_PL_CAN_4,ANZ_KC_PL_4,EIB,,DE_APT_PN_JB_3,DE_APT_PN_3,DI,DE_APT_PN_EZP_1,DE_APT_PN_1,84130
,,,,,,,,,,,,ANZ_TN_TN_,TN,,ANZ_TN_TN_CAN_,900,,,ANZ_TN_TN_CAN_,ANZ_TN_TN_,EIB,,DE_APT_PN_JB_4,DE_APT_PN_4,DI,DE_APT_PN_EZP_2,DE_APT_PN_2,89337
,,,,,,,,,,,,DE_APT_PF_1,IF,,ANZ_TN_TN_CAN_,450,,,DE_APT_PF_JB_1,DE_APT_PF_1,EIB,,DE_APT_PN_JB_5,DE_APT_PN_5,DI,DE_APT_PN_EZP_3,DE_APT_PN_3,89339
,,,,,,,,,,,,DE_APT_PF_2,FO,,ANZ_TN_TN_CAN_,380,,,DE_APT_PF_JB_2,DE_APT_PF_2,EIB,,DE_APT_PN_JB_PRE,DE_APT_PN_PRE,DI,NL_NC_PN_EZP_4,NL_NC_PN_4,90382
,,,,,,,,,,,,DE_APT_PF_PRE,IF,,DE_APT_PF_JB_1,800,,,DE_APT_PF_JB_PRE,DE_APT_PF_PRE,EIB,,NL_NC_PN_EZP_1,NL_NC_PN_1,DI,NL_NC_PN_EZP_5,NL_NC_PN_5,90384
,,,,,,,,,,,,DE_APT_PN_4,GUM,,DE_APT_PF_JB_2,800,,,DE_APT_PN_BIB_4,DE_APT_PN_4,EIB,,NL_NC_PN_EZP_2,NL_NC_PN_2,DI,NL_NC_PN_EZP_6,NL_NC_PN_6,93911
,,,,,,,,,,,,DE_APT_PN_5,GUM,,DE_APT_PF_JB_PRE,800,,,DE_APT_PN_BIB_5,DE_APT_PN_5,EIB,,NL_NC_PN_EZP_3,NL_NC_PN_3,DI,DE_APT_PF_JB_1,DE_APT_PF_1,102777
,,,,,,,,,,,,DE_APT_PN_PEP,TN,,DE_APT_PN_BIB_4,600,,,DE_APT_PN_CAN_PEP,DE_APT_PN_PEP,EIB,,NL_NC_PN_EZP_4,NL_NC_PN_4,DI,DE_APT_PF_JB_2,DE_APT_PF_2,102778
,,,,,,,,,,,,DE_APT_PN_PREA,TN,,DE_APT_PN_BIB_5,600,,,DE_APT_PN_CAN_PREA,DE_APT_PN_PREA,EIB,,NL_NC_PN_EZP_5,NL_NC_PN_5,DI,DE_APT_PF_JB_PRE,DE_APT_PF_PRE,103522
,,,,,,,,,,,,DE_APT_PN_PREG,TN,,DE_APT_PN_CAN_PEP,400,,,DE_APT_PN_CAN_PREG,DE_APT_PN_PREG,EIB,,NL_NC_PN_JB_1,NL_NC_PN_1,DI,DE_APT_PN_BIB_4,DE_APT_PN_4,104622
,,,,,,,,,,,,DE_APT_PN_1,IF,,DE_APT_PN_CAN_PREA,400,,,DE_APT_PN_EZP_1,DE_APT_PN_1,EIB,,NL_NC_PN_JB_2,NL_NC_PN_2,DI,DE_APT_PN_BIB_5,DE_APT_PN_5,104623
,,,,,,,,,,,,DE_APT_PN_1,TN,,DE_APT_PN_CAN_PREG,400,,,DE_APT_PN_EZP_2,DE_APT_PN_2,EIB,,NL_NC_PN_JB_3,NL_NC_PN_3,DI,ANZ_TN_TN_CAN_,ANZ_TN_TN_,104713
,,,,,,,,,,,,DE_APT_PN_2,FO,,DE_APT_PN_EZP_1,800,,,DE_APT_PN_EZP_3,DE_APT_PN_3,EIB,,NL_NC_PN_JB_4,NL_NC_PN_4,DI,NL_NC_PN_EZP_3,NL_NC_PN_3,104968
,,,,,,,,,,,,DE_APT_PN_2,TN,,DE_APT_PN_EZP_2,800,,,DE_APT_PN_EZP_PRE,DE_APT_PN_PRE,EIB,,NL_NC_PN_JB_5,NL_NC_PN_5,DI,ANZ_KC_GT_CAN_,ANZ_KC_GT_,109352
,,,,,,,,,,,,DE_APT_PN_3,FO,,DE_APT_PN_EZP_3,800,,,NL_NC_PN_EZP_1,NL_NC_PN_1,EIB,,UK_APT_PN_EZP_1,UK_APT_PN_1,DI,ANZ_TN_TN_CAN_,ANZ_TN_TN_,109370
,,,,,,,,,,,,DE_APT_PN_PRE,IF,,DE_APT_PN_EZP_PRE,800,,,NL_NC_PN_EZP_2,NL_NC_PN_2,EIB,,UK_APT_PN_EZP_2,UK_APT_PN_2,DI,ANZ_TN_TN_CAN_,ANZ_TN_TN_,109375
,,,,,,,,,,,,DE_APT_PN_PRE,TN,,DE_APT_PN_JB_1,800,,,NL_NC_PN_EZP_3,NL_NC_PN_3,EIB,,UK_APT_PN_EZP_3,UK_APT_PN_3,DI,DE_APT_PN_EZP_PRE,DE_APT_PN_PRE,109400
,,,,,,,,,,,,NL_NC_PN_1,IF,,DE_APT_PN_JB_2,800,,,NL_NC_PN_EZP_4,NL_NC_PN_4,EIB,,UK_APT_PN_EZP_4,UK_APT_PN_4,DI,DE_APT_PN_EZP_1,DE_APT_PN_1,109401
,,,,,,,,,,,,NL_NC_PN_2,FO,,DE_APT_PN_JB_3,800,,,NL_NC_PN_EZP_5,NL_NC_PN_5,EIB,,UK_C&G_C&G_EZP_1,UK_C&G_C&G_1,DI,DE_APT_PN_EZP_2,DE_APT_PN_2,109402
,,,,,,,,,,,,NL_NC_PN_2,IF,,DE_APT_PN_JB_4,800,,,NL_NC_PN_EZP_6,NL_NC_PN_6,EIB,,UK_C&G_C&G_EZP_2,UK_C&G_C&G_2,DI,ANZ_TN_TN_CAN_,ANZ_TN_TN_,115580
,,,,,,,,,,,,NL_NC_PN_3,FO,,DE_APT_PN_JB_5,800,,,UK_APT_PF_JB_1,UK_APT_PF_1,EIB,,UK_C&G_C&G_EZP_3,UK_C&G_C&G_3,DI,ANZ_TN_TN_CAN_,ANZ_TN_TN_,130598
,,,,,,,,,,,,NL_NC_PN_4,GUM,,DE_APT_PN_JB_PRE,800,,,UK_APT_PF_JB_2,UK_APT_PF_2,EIB,,UK_C&G_C&G_EZP_4,UK_C&G_C&G_4,DI,ANZ_TN_TN_CAN_,ANZ_TN_TN_,135572
