SKU,Country,Tier,Package,Stage,Country_acc,Brand_acc,Tier_acc,Stage_acc,Package_acc,SKU_std,Format (g),SKU_wo_pkg,check_IL_offtake_std,check_IL_offtake_wo_pkg,check_IL_sellin_std,check_IL_sellin_wo_pkg,Is_Mature
NC EZP 3,NL,PN,EZP,3,NL,NC,PN,3,EZP,NL_NC_PN_EZP_3,800,NL_NC_PN_3,TRUE,TRUE,TRUE,TRUE,TRUE
NC EZP 4,NL,PN,EZP,4,NL,NC,PN,4,EZP,NL_NC_PN_EZP_4,800,NL_NC_PN_4,TRUE,TRUE,TRUE,TRUE,TRUE
NC EZP 5,NL,PN,EZP,5,NL,NC,PN,5,EZP,NL_NC_PN_EZP_5,800,NL_NC_PN_5,TRUE,TRUE,TRUE,TRUE,TRUE
NC JB 1,NL,PN,JB,1,NL,NC,PN,1,JB,NL_NC_PN_JB_1,800,NL_NC_PN_1,TRUE,TRUE,TRUE,TRUE,TRUE
NC JB 2,NL,PN,JB,2,NL,NC,PN,2,JB,NL_NC_PN_JB_2,800,NL_NC_PN_2,TRUE,TRUE,TRUE,TRUE,TRUE
NC JB 3,NL,PN,JB,3,NL,NC,PN,3,JB,NL_NC_PN_JB_3,800,NL_NC_PN_3,TRUE,TRUE,TRUE,TRUE,TRUE
NC JB 4,NL,PN,JB,4,NL,NC,PN,4,JB,NL_NC_PN_JB_4,800,NL_NC_PN_4,TRUE,TRUE,TRUE,TRUE,TRUE
NC JB 5,NL,PN,JB,5,NL,NC,PN,5,JB,NL_NC_PN_JB_5,800,NL_NC_PN_5,TRUE,TRUE,TRUE,TRUE,TRUE
NC EZP 1,NL,NC,PN,1,NL,NC,PN,1,EZP,,,NL_NC_PN_1,,,,,FALSE
NC EZP 2,NL,NC,PN,2,NL,NC,PN,2,EZP,,,NL_NC_PN_2,,,,,FALSE
NC EZP 3,NL,NC,PN,3,NL,NC,PN,3,EZP,,,NL_NC_PN_3,,,,,FALSE
NC EZP 4,NL,NC,PN,4,NL,NC,PN,4,EZP,,,NL_NC_PN_4,,,,,FALSE
NC EZP 5,NL,NC,PN,5,NL,NC,PN,5,EZP,,,NL_NC_PN_5,,,,,FALSE
APT UK 1,UK,APT,PN,1,UK,APT,PN,1,EZP,,,UK_APT_PN_1,,,,,FALSE
APT UK 2,UK,APT,PN,2,UK,APT,PN,2,EZP,,,UK_APT_PN_2,,,,,FALSE
APT UK 3,UK,APT,PN,3,UK,APT,PN,3,EZP,,,UK_APT_PN_3,,,,,FALSE
APT UK 4,UK,APT,PN,4,UK,APT,PN,4,EZP,,,UK_APT_PN_4,,,,,FALSE
C&G UK 1,UK,C&G,C&G,1,UK,C&G,C&G,1,EZP,,,UK_C&G_C&G_1,,,,,FALSE
C&G UK 2,UK,C&G,C&G,2,UK,C&G,C&G,2,EZP,,,UK_C&G_C&G_2,,,,,FALSE
C&G UK 3,UK,C&G,C&G,3,UK,C&G,C&G,3,EZP,,,UK_C&G_C&G_3,,,,,FALSE
C&G UK 4,UK,C&G,C&G,4,UK,C&G,C&G,4,EZP,,,UK_C&G_C&G_4,,,,,FALSE
HK Pre 1,HK,APT,Presyneo,1,HK,APT,Presyneo,1,CAN,,,HK_APT_Presyneo_1,,,,,FALSE
HK Pre 2,HK,APT,Presyneo,2,HK,APT,Presyneo,2,CAN,,,HK_APT_Presyneo_2,,,,,FALSE
HK Pre 3,HK,APT,Presyneo,3,HK,APT,Presyneo,3,CAN,,,HK_APT_Presyneo_3,,,,,FALSE
HK AP 2.0 1,HK,APT,PF,1,HK,APT,PF,1,CAN,,,HK_APT_PF_1,,,,,FALSE
HK AP 2.0 2,HK,APT,PF,2,HK,APT,PF,2,CAN,,,HK_APT_PF_2,,,,,FALSE
HK AP 2.0 3,HK,APT,PF,3,HK,APT,PF,3,CAN,,,HK_APT_PF_3,,,,,FALSE
HK AP 2.0 4,HK,APT,PF,4,HK,APT,PF,4,CAN,,,HK_APT_PF_4,,,,,FALSE
Karicare Core 1,ANZ,Karicare,Core,1,ANZ,Karicare,Core,1,CAN,,,ANZ_Karicare_Core_1,,,,,FALSE
Karicare Core 2,ANZ,Karicare,Core,2,ANZ,Karicare,Core,2,CAN,,,ANZ_Karicare_Core_2,,,,,FALSE
Karicare Core 3,ANZ,Karicare,Core,3,ANZ,Karicare,Core,3,CAN,,,ANZ_Karicare_Core_3,,,,,FALSE
Karicare Sheep 1,ANZ,Karicare,Sheep,1,ANZ,Karicare,Sheep,1,CAN,,,ANZ_Karicare_Sheep_1,,,,,FALSE
