Country_acc,Brand_acc,Tier_acc,Stage_acc,Package_acc,SKU_std,SKU_wo_pkg,Stage_3F,SKU_No,From_DI,Frome_EIB
NL,NC,PN,1,JB,NL_NC_PN_JB_1,NL_NC_PN_1,IF,612402,TRUE,FALSE
NL,NC,PN,2,JB,NL_NC_PN_JB_2,NL_NC_PN_2,FO,612403,TRUE,FALSE
NL,NC,PN,3,JB,NL_NC_PN_JB_3,NL_NC_PN_3,FO,612404,TRUE,FALSE
NL,NC,PN,4,JB,NL_NC_PN_JB_4,NL_NC_PN_4,GUM,612405,TRUE,FALSE
NL,NC,PN,5,JB,NL_NC_PN_JB_5,NL_NC_PN_5,GUM,612406,TRUE,FALSE
UK,APT,PN,1,EZP,UK_APT_PN_EZP_1,UK_APT_PN_1,IF,623548,TRUE,TRUE
UK,APT,PN,2,EZP,UK_APT_PN_EZP_2,UK_APT_PN_2,FO,623553,TRUE,TRUE
UK,APT,PN,3,EZP,UK_APT_PN_EZP_3,UK_APT_PN_3,GUM,623557,TRUE,TRUE
ANZ,KC,GT,1,CAN,ANZ_KC_GT_CAN_1,ANZ_KC_GT_1,IF,109352,FALSE,TRUE
ANZ,KC,GT,2,CAN,ANZ_KC_GT_CAN_2,ANZ_KC_GT_2,FO,109353,FALSE,TRUE
ANZ,KC,GT,3,CAN,ANZ_KC_GT_CAN_3,ANZ_KC_GT_3,GUM,109354,FALSE,TRUE
ANZ,KC,GD,1,CAN,ANZ_KC_GD_CAN_1,ANZ_KC_GD_1,IF,109334,FALSE,TRUE
ANZ,KC,GD,2,CAN,ANZ_KC_GD_CAN_2,ANZ_KC_GD_2,FO,109335,FALSE,TRUE
UK,APT,PF,2,JB,UK_APT_PF_JB_2,UK_APT_PF_2,FO,106925,FALSE,TRUE
ANZ,KC,GD,4,CAN,ANZ_KC_GD_CAN_4,ANZ_KC_GD_4,GUM,109358,FALSE,TRUE
UK,APT,PF,3,JB,UK_APT_PF_JB_3,UK_APT_PF_3,GUM,106926,FALSE,TRUE
UK,APT,PN,4,EZP,UK_APT_PN_EZP_4,UK_APT_PN_4,GUM,623554,TRUE,TRUE
