Unnamed: 0_x,sku_wo_pkg,date,horizon,date_when_predicting_x,yhat_di_calib,Unnamed: 0_y,date_when_predicting_y,yhat_eib_calib,Unnamed: 0,date_when_predicting,yhat_il_calib,fold,target_di,target_eib,target_il
38475,UK_APT_PN_1,2018-04-01,1,201803,15.548418045043945,33,201803,22.451312385661925,33,201803,37.99973043070588,-1,9.7434,20.85477956,30.59817956
38478,UK_APT_PN_2,2018-04-01,1,201803,13.932058334350586,34,201803,22.302852787519626,34,201803,36.23491112187021,-1,17.4069,20.09205221,37.49895221
38481,UK_APT_PN_3,2018-04-01,1,201803,76.69770050048828,35,201803,68.441017660395,35,201803,145.13871816088331,-1,54.8001,47.793324299999995,102.5934243
38484,UK_APT_PN_4,2018-04-01,1,201803,23.9582633972168,36,201803,25.700526804093762,36,201803,49.65879020131055,-1,18.5984,32.77024226,51.36864226
38487,UK_C&G_C&G_1,2018-04-01,1,201803,13.183998107910154,37,201803,20.959670704497377,37,201803,34.14366881240753,-1,11.0259,21.7101294,32.7360294
38490,UK_C&G_C&G_2,2018-04-01,1,201803,19.879880905151367,38,201803,19.731705612350744,38,201803,39.611586517502104,-1,14.0364,25.19570341,39.23210341
38493,UK_C&G_C&G_3,2018-04-01,1,201803,59.44951248168945,39,201803,65.23860401823715,39,201803,124.68811649992658,-1,44.5338,66.01695131,110.5507513
38496,UK_C&G_C&G_4,2018-04-01,1,201803,20.603986740112305,40,201803,24.689498297282057,40,201803,45.29348503739436,-1,22.96,32.918582,55.878581999999994
38499,ANZ_APT_PF_1,2018-05-01,2,201803,15.570453643798828,41,201803,42.42877002049053,41,201803,57.99922366428935,-1,14.3262,57.91507575,72.24127575
38502,ANZ_APT_PF_2,2018-05-01,2,201803,22.27687263488769,42,201803,56.688706497752904,42,201803,78.96557913264061,-1,26.9055,82.51238274,109.4178827
38505,ANZ_APT_PF_3,2018-05-01,2,201803,136.96449279785156,43,201803,137.6270610882676,43,201803,274.5915538861192,-1,74.3382,186.6042069,260.94240690000004
38508,ANZ_APT_PF_4,2018-05-01,2,201803,44.947025299072266,44,201803,95.63713674713837,44,201803,140.58416204621062,-1,28.3977,198.7100032,227.10770319999997
38511,ANZ_APT_PN_1,2018-05-01,2,201803,27.02467155456543,45,201803,70.93834826411809,45,201803,97.9630198186835,-1,23.5764,95.66204151,119.23844150000001
38514,ANZ_APT_PN_2,2018-05-01,2,201803,48.13753890991211,46,201803,118.93954261138407,46,201803,167.0770815212962,-1,42.1605,128.544829,170.705329
38517,ANZ_APT_PN_3,2018-05-01,2,201803,247.33856201171875,47,201803,315.2519801745643,47,201803,562.5905421862831,-1,197.2998,295.4350397,492.7348397
38520,ANZ_APT_PN_4,2018-05-01,2,201803,182.09266662597656,48,201803,173.56029290053814,48,201803,355.6529595265147,-1,97.6752,315.5268402,413.2020402
38523,ANZ_KC_GD_1,2018-05-01,2,201803,0.0,49,201803,6.8465866183897806,49,201803,6.8465866183897806,-1,0.0,13.27471867,13.27471867
38526,ANZ_KC_GD_2,2018-05-01,2,201803,0.0,50,201803,8.631609255905683,50,201803,8.631609255905683,-1,0.0,14.63766223,14.63766223
38529,ANZ_KC_GD_3,2018-05-01,2,201803,0.0,51,201803,20.383321075998555,51,201803,20.383321075998555,-1,0.0,30.65400711,30.65400711
38532,ANZ_KC_GD_4,2018-05-01,2,201803,0.0,52,201803,15.445721782803625,52,201803,15.445721782803625,-1,0.0,42.73164786,42.73164786
38535,ANZ_KC_GT_1,2018-05-01,2,201803,0.0,53,201803,32.241837206275555,53,201803,32.241837206275555,-1,0.0,52.75526283,52.75526283
38538,ANZ_KC_GT_2,2018-05-01,2,201803,0.0,54,201803,30.728908760306645,54,201803,30.728908760306645,-1,0.0,48.74559478,48.74559478
38541,ANZ_KC_GT_3,2018-05-01,2,201803,0.0,55,201803,96.18986837623727,55,201803,96.18986837623727,-1,0.0,104.31381850000001,104.31381850000001
38544,DE_APT_PF_1,2018-05-01,2,201803,16.277297973632812,56,201803,26.32697828544589,56,201803,42.6042762590787,-1,17.3416,33.10550547,50.44710547
38547,DE_APT_PF_2,2018-05-01,2,201803,22.51856803894043,57,201803,110.07533048198988,57,201803,132.59389852093028,-1,30.4288,119.62013859999999,150.04893859999999
38550,DE_APT_PF_PRE,2018-05-01,2,201803,20.76116752624512,58,201803,42.086615812379016,58,201803,62.84778333862413,-1,25.6696,27.144097600000002,52.813697600000005
38553,DE_APT_PN_1,2018-05-01,2,201803,25.375141143798828,59,201803,50.95519665788083,59,201803,76.33033780167966,-1,32.0376,51.18368966,83.22128966
38556,DE_APT_PN_2,2018-05-01,2,201803,56.08042907714844,60,201803,124.9145822069212,60,201803,180.99501128406965,-1,61.7848,59.31187714,121.0966771
38559,DE_APT_PN_3,2018-05-01,2,201803,90.91043090820312,61,201803,206.92115798224083,61,201803,297.831588890444,-1,89.936,108.27879979999999,198.2147998
38562,DE_APT_PN_4,2018-05-01,2,201803,123.43961334228516,62,201803,250.4560316017984,62,201803,373.8956449440835,-1,112.9246,141.3262231,254.25082310000002
38565,DE_APT_PN_5,2018-05-01,2,201803,50.6998176574707,63,201803,166.57428768750103,63,201803,217.27410534497173,-1,64.5732,123.64206770000001,188.2152677
38568,DE_APT_PN_PRE,2018-05-01,2,201803,26.82835578918457,64,201803,36.19687416741888,64,201803,63.02522995660346,-1,24.9576,27.44030834,52.39790834
38571,NL_NC_PN_1,2018-05-01,2,201803,12.546528816223145,65,201803,82.93147806439887,65,201803,95.47800688062202,-1,15.6744,66.38396316,82.05836316
38574,NL_NC_PN_2,2018-05-01,2,201803,13.640419006347654,66,201803,88.60523917547525,66,201803,102.2456581818229,-1,18.607,82.45573556,101.0627356
38577,NL_NC_PN_3,2018-05-01,2,201803,15.902273178100586,67,201803,48.281368106037604,67,201803,64.18364128413819,-1,15.2832,63.78584048,79.06904048
38580,NL_NC_PN_4,2018-05-01,2,201803,51.8209114074707,68,201803,192.80425622576215,68,201803,244.62516763323285,-1,61.9696,215.96161899999998,277.931219
38583,NL_NC_PN_5,2018-05-01,2,201803,22.026477813720703,69,201803,100.20094842493324,69,201803,122.22742623865393,-1,49.2216,140.1274436,189.3490436
38586,NL_NC_PN_6,2018-05-01,2,201803,0.0,70,201803,41.14966450576089,70,201803,41.14966450576089,-1,0.0,61.61198203,61.61198203
38589,UK_APT_PF_1,2018-05-01,2,201803,0.0,71,201803,19.409824871845093,71,201803,19.409824871845093,-1,0.0,19.82053654,19.82053654
38592,UK_APT_PF_2,2018-05-01,2,201803,0.0,72,201803,17.657109609855087,72,201803,17.657109609855087,-1,0.0,14.33635617,14.33635617
