,sku_wo_pkg,date,horizon,date_when_predicting_x,yhat_di_calib,date_when_predicting_y,yhat_eib_calib,date_when_predicting,yhat_il_calib,fold,target_di,target_eib,target_il,country,brand,tier,stage,age_offtake_di,age_offtake_il,age_offtake_eib,err_di,abs_err_di
17,DE_APT_PF_PRE,2017-12-01,1,201711,7.569925308227539,201711,47.731560473425105,201711,55.301485781652644,-1,5.812,64.9021635864439,70.71416358644392,DE,APT,PF,PRE,-5.0,31.0,31.0,-1.7579253082275388,1.7579253082275388
18,DE_APT_PN_1,2017-12-01,1,201711,45.924190521240234,201711,57.14614712838311,201711,103.07033764962335,-1,26.4112,73.37166424052917,99.78286424052915,DE,APT,PN,1,4.0,35.0,35.0,-19.512990521240233,19.512990521240233
19,DE_APT_PN_2,2017-12-01,1,201711,48.81654357910156,201711,175.06364666082575,201711,223.88019023992732,-1,27.4144,140.65405367760292,168.0684536776029,DE,APT,PN,2,6.0,35.0,35.0,-21.402143579101562,21.402143579101562
20,DE_APT_PN_3,2017-12-01,1,201711,61.834312438964844,201711,225.81740334786002,201711,287.65171578682487,-1,23.3008,194.5775940544729,217.8783940544729,DE,APT,PN,3,4.0,35.0,35.0,-38.53351243896485,38.53351243896485
21,DE_APT_PN_4,2017-12-01,1,201711,177.57342529296875,201711,322.17881395348087,201711,499.7522392464496,-1,69.4504,328.4206714551584,397.87107145515836,DE,APT,PN,4,8.0,35.0,35.0,-108.12302529296875,108.12302529296875
22,DE_APT_PN_5,2017-12-01,1,201711,68.71051025390625,201711,215.13297013584926,201711,283.84348038975554,-1,39.75360000000001,235.85462464580303,275.60822464580303,DE,APT,PN,5,7.0,35.0,35.0,-28.956910253906237,28.956910253906237
23,DE_APT_PN_PRE,2017-12-01,1,201711,46.0108757019043,201711,52.19972734321842,201711,98.21060304512272,-1,24.728,62.47750172497658,87.20550172497656,DE,APT,PN,PRE,3.0,35.0,35.0,-21.282875701904295,21.282875701904295
24,NL_NC_PN_1,2017-12-01,1,201711,10.732460021972656,201711,134.18590537310467,201711,144.91836539507733,-1,6.0608,133.3818503439532,139.4426503439532,NL,NC,PN,1,-7.0,35.0,35.0,-4.671660021972656,4.671660021972656
25,NL_NC_PN_2,2017-12-01,1,201711,13.645519256591797,201711,159.39827510587565,201711,173.04379436246745,-1,4.2712,155.3373318548798,159.60853185487983,NL,NC,PN,2,-6.0,35.0,35.0,-9.374319256591797,9.374319256591797
26,NL_NC_PN_3,2017-12-01,1,201711,30.8835506439209,201711,122.4070308292985,201711,153.2905814732194,-1,5.9384,99.9957727415528,105.93417274155279,NL,NC,PN,3,3.0,35.0,35.0,-24.945150643920897,24.945150643920897
27,NL_NC_PN_4,2017-12-01,1,201711,84.02019500732422,201711,272.8984460244218,201711,356.918641031746,-1,27.692,253.6195531375468,281.31155313754675,NL,NC,PN,4,14.0,35.0,35.0,-56.32819500732422,56.32819500732422
28,NL_NC_PN_5,2017-12-01,1,201711,53.000858306884766,201711,169.1188624065354,201711,222.11972071342018,-1,20.1656,154.71774993070943,174.88334993070941,NL,NC,PN,5,12.0,35.0,35.0,-32.83525830688477,32.83525830688477
29,NL_NC_PN_6,2017-12-01,1,201711,0.0,201711,67.60800689954385,201711,67.60800689954385,-1,0.0,70.32296221984748,70.32296221984748,NL,NC,PN,6,-99.0,35.0,35.0,0.0,0.0
30,UK_APT_PF_1,2017-12-01,1,201711,0.0,201711,20.002686038418645,201711,20.002686038418645,-1,0.0,18.51257042286489,18.51257042286489,UK,APT,PF,1,-99.0,10.0,10.0,0.0,0.0
31,UK_APT_PF_2,2017-12-01,1,201711,0.0,201711,19.228600759116006,201711,19.228600759116006,-1,0.0,17.26828702174363,17.26828702174363,UK,APT,PF,2,-99.0,7.0,7.0,0.0,0.0
32,UK_APT_PF_3,2017-12-01,1,201711,0.0,201711,74.95380696924828,201711,74.95380696924828,-1,0.0,74.026268109521,74.026268109521,UK,APT,PF,3,-99.0,15.0,15.0,0.0,0.0
33,UK_APT_PN_1,2017-12-01,1,201711,16.412601470947266,201711,20.17026878086283,201711,36.58287025181009,-1,9.0963,23.01516186180376,32.11146186180376,UK,APT,PN,1,-99.0,35.0,35.0,-7.316301470947266,7.316301470947266
34,UK_APT_PN_2,2017-12-01,1,201711,27.585285186767578,201711,46.59224943066054,201711,74.17753461742811,-1,25.7823,24.02282568442219,49.80512568442219,UK,APT,PN,2,2.0,35.0,35.0,-1.8029851867675788,1.8029851867675788
35,UK_APT_PN_3,2017-12-01,1,201711,97.96614074707031,201711,107.53607796423643,201711,205.50221871130674,-1,30.5343,92.67820150591896,123.21250150591896,UK,APT,PN,3,3.0,35.0,35.0,-67.43184074707031,67.43184074707031
36,UK_APT_PN_4,2017-12-01,1,201711,54.11502456665039,201711,61.50406775309538,201711,115.61909231974576,-1,21.0504,46.54858576235547,67.59898576235547,UK,APT,PN,4,3.0,35.0,35.0,-33.064624566650394,33.064624566650394
37,UK_C&G_C&G_1,2017-12-01,1,201711,11.740081787109375,201711,25.569471906161105,201711,37.30955369327048,-1,8.8128,27.874592104882026,36.68739210488202,UK,C&G,C&G,1,-99.0,35.0,35.0,-2.9272817871093757,2.9272817871093757
38,UK_C&G_C&G_2,2017-12-01,1,201711,21.433652877807617,201711,39.78622589871114,201711,61.219878776518755,-1,24.4818,28.45931550181537,52.94111550181537,UK,C&G,C&G,2,0.0,35.0,35.0,3.0481471221923826,3.0481471221923826
39,UK_C&G_C&G_3,2017-12-01,1,201711,63.954891204833984,201711,102.80748957471779,201711,166.7623807795518,-1,49.0185,94.93662535075985,143.95512535075986,UK,C&G,C&G,3,3.0,35.0,35.0,-14.936391204833981,14.936391204833981
40,UK_C&G_C&G_4,2017-12-01,1,201711,31.3521671295166,201711,67.02477317492296,201711,98.37694030443956,-1,26.6696,54.89127247473024,81.56087247473026,UK,C&G,C&G,4,0.0,35.0,35.0,-4.6825671295166025,4.6825671295166025
41,ANZ_APT_PF_1,2018-01-01,2,201711,22.879728317260742,201711,49.53304263593218,201711,72.41277095319293,-1,18.6084,58.76857823342455,77.37697823342455,ANZ,APT,PF,1,-4.0,36.0,36.0,-4.271328317260743,4.271328317260743
42,ANZ_APT_PF_2,2018-01-01,2,201711,40.84852981567383,201711,85.28418943209769,201711,126.13271924777152,-1,35.5086,53.265032667573,88.77363266757301,ANZ,APT,PF,2,4.0,36.0,36.0,-5.339929815673827,5.339929815673827
43,ANZ_APT_PF_3,2018-01-01,2,201711,110.18791961669922,201711,170.72307116385062,201711,280.9109907805498,-1,129.01590000000002,143.98250576084084,272.99840576084085,ANZ,APT,PF,3,6.0,36.0,36.0,18.827980383300797,18.827980383300797
44,ANZ_APT_PF_4,2018-01-01,2,201711,47.14875411987305,201711,110.34178050448561,201711,157.49053462435865,-1,39.5307,83.93152734311394,123.46222734311395,ANZ,APT,PF,4,6.0,27.0,27.0,-7.618054119873044,7.618054119873044
45,ANZ_APT_PN_1,2018-01-01,2,201711,36.381629943847656,201711,58.08755705540307,201711,94.46918699925072,-1,21.33,71.20461323514473,92.5346132351447,ANZ,APT,PN,1,8.0,36.0,36.0,-15.051629943847658,15.051629943847658
46,ANZ_APT_PN_2,2018-01-01,2,201711,70.17271423339844,201711,144.611428025689,201711,214.78414225908745,-1,31.3731,124.76515715683678,156.13825715683674,ANZ,APT,PN,2,11.0,36.0,36.0,-38.79961423339844,38.79961423339844
47,ANZ_APT_PN_3,2018-01-01,2,201711,208.19944763183594,201711,312.1965289492041,201711,520.39597658104,-1,171.9774,283.3845586426344,455.36195864263436,ANZ,APT,PN,3,16.0,36.0,36.0,-36.22204763183595,36.22204763183595
48,ANZ_APT_PN_4,2018-01-01,2,201711,173.46136474609375,201711,218.20969415592245,201711,391.67105890201617,-1,85.92479999999998,182.25072215921512,268.17552215921506,ANZ,APT,PN,4,16.0,36.0,36.0,-87.53656474609377,87.53656474609377
49,ANZ_KC_GD_1,2018-01-01,2,201711,0.0,201711,9.740321384501618,201711,9.740321384501618,-1,0.0,7.1883142651844025,7.1883142651844025,ANZ,KC,GD,1,-99.0,36.0,36.0,0.0,0.0
50,ANZ_KC_GD_2,2018-01-01,2,201711,0.0,201711,9.714290749516882,201711,9.714290749516882,-1,0.0,9.854158542287136,9.854158542287136,ANZ,KC,GD,2,-99.0,36.0,36.0,0.0,0.0
51,ANZ_KC_GD_3,2018-01-01,2,201711,0.0,201711,27.89286035267043,201711,27.89286035267043,-1,0.0,19.895509483383535,19.895509483383535,ANZ,KC,GD,3,-99.0,36.0,36.0,0.0,0.0
52,ANZ_KC_GD_4,2018-01-01,2,201711,0.0,201711,17.500135971994236,201711,17.500135971994236,-1,0.0,16.65932103599508,16.65932103599508,ANZ,KC,GD,4,-99.0,36.0,36.0,0.0,0.0
53,ANZ_KC_GT_1,2018-01-01,2,201711,0.0,201711,39.00556424584588,201711,39.00556424584588,-1,0.0,56.4300275953763,56.4300275953763,ANZ,KC,GT,1,-99.0,36.0,36.0,0.0,0.0
54,ANZ_KC_GT_2,2018-01-01,2,201711,0.0,201711,43.25767816461452,201711,43.25767816461452,-1,0.0,52.55519349176977,52.55519349176977,ANZ,KC,GT,2,-99.0,36.0,36.0,0.0,0.0
55,ANZ_KC_GT_3,2018-01-01,2,201711,0.0,201711,130.72991152914236,201711,130.72991152914236,-1,0.0,156.3183328466764,156.3183328466764,ANZ,KC,GT,3,-99.0,36.0,36.0,0.0,0.0
56,DE_APT_PF_1,2018-01-01,2,201711,17.650516510009766,201711,19.53977222078733,201711,37.19028873079709,-1,25.1272,20.12225955600789,45.24945955600789,DE,APT,PF,1,-4.0,22.0,22.0,7.476683489990233,7.476683489990233
57,DE_APT_PF_2,2018-01-01,2,201711,29.156347274780273,201711,135.12407128522545,201711,164.28041856000573,-1,51.4216,86.6943300222826,138.11593002228258,DE,APT,PF,2,4.0,36.0,36.0,22.265252725219725,22.265252725219725
58,DE_APT_PF_PRE,2018-01-01,2,201711,16.85062599182129,201711,45.88114011723003,201711,62.73176610905132,-1,25.5392,58.86829109464218,84.40749109464217,DE,APT,PF,PRE,-4.0,32.0,32.0,8.688574008178712,8.688574008178712
59,DE_APT_PN_1,2018-01-01,2,201711,54.24903106689453,201711,56.649425814274665,201711,110.8984568811692,-1,31.9736,53.5742548983702,85.5478548983702,DE,APT,PN,1,5.0,36.0,36.0,-22.27543106689453,22.27543106689453
60,DE_APT_PN_2,2018-01-01,2,201711,53.618385314941406,201711,175.37802478607745,201711,228.99641010101885,-1,39.3832,116.91655866148932,156.2997586614893,DE,APT,PN,2,7.0,36.0,36.0,-14.235185314941404,14.235185314941404
61,DE_APT_PN_3,2018-01-01,2,201711,70.8310775756836,201711,192.35878052531757,201711,263.18985810100116,-1,41.4576,178.34763850935937,219.80523850935933,DE,APT,PN,3,5.0,36.0,36.0,-29.373477575683594,29.373477575683594
62,DE_APT_PN_4,2018-01-01,2,201711,114.66459655761719,201711,294.77370694774396,201711,409.43830350536115,-1,75.9712,331.26267975097596,407.23387975097603,DE,APT,PN,4,9.0,36.0,36.0,-38.69339655761719,38.69339655761719
63,DE_APT_PN_5,2018-01-01,2,201711,66.82524108886719,201711,197.95604683461053,201711,264.78128792347775,-1,43.2424,215.72292187326056,258.96532187326056,DE,APT,PN,5,8.0,36.0,36.0,-23.582841088867184,23.582841088867184
64,DE_APT_PN_PRE,2018-01-01,2,201711,52.53843307495117,201711,33.1419306167771,201711,85.68036369172827,-1,18.7192,81.663921529581,100.38312152958099,DE,APT,PN,PRE,4.0,36.0,36.0,-33.81923307495117,33.81923307495117
65,NL_NC_PN_1,2018-01-01,2,201711,13.653783798217773,201711,138.24299138381616,201711,151.89677518203393,-1,7.661600000000001,118.60540256701609,126.26700256701609,NL,NC,PN,1,-6.0,36.0,36.0,-5.992183798217773,5.992183798217773
66,NL_NC_PN_2,2018-01-01,2,201711,20.168895721435547,201711,169.08887792335887,201711,189.2577736447944,-1,10.4104,127.35421930052743,137.76461930052744,NL,NC,PN,2,-5.0,36.0,36.0,-9.758495721435548,9.758495721435548
67,NL_NC_PN_3,2018-01-01,2,201711,38.41899490356445,201711,122.49528181244708,201711,160.91427671601153,-1,7.7639999999999985,95.36283064138952,103.12683064138949,NL,NC,PN,3,4.0,36.0,36.0,-30.654994903564454,30.654994903564454
68,NL_NC_PN_4,2018-01-01,2,201711,59.000484466552734,201711,282.0653316463112,201711,341.06581611286396,-1,43.71679999999999,229.04087686820992,272.7576768682099,NL,NC,PN,4,15.0,36.0,36.0,-15.283684466552742,15.283684466552742
69,NL_NC_PN_5,2018-01-01,2,201711,52.05356979370117,201711,175.8550635044601,201711,227.90863329816128,-1,35.20480000000001,126.57689918032423,161.78169918032424,NL,NC,PN,5,13.0,36.0,36.0,-16.84876979370116,16.84876979370116
70,NL_NC_PN_6,2018-01-01,2,201711,0.0,201711,65.55565025778073,201711,65.55565025778073,-1,0.0,60.12365715075444,60.12365715075444,NL,NC,PN,6,-99.0,36.0,36.0,0.0,0.0
71,UK_APT_PF_1,2018-01-01,2,201711,0.0,201711,15.78681867570966,201711,15.78681867570966,-1,0.0,23.546035118358912,23.546035118358912,UK,APT,PF,1,-99.0,11.0,11.0,0.0,0.0
72,UK_APT_PF_2,2018-01-01,2,201711,0.0,201711,17.879365727820307,201711,17.879365727820307,-1,0.0,20.28876397126043,20.28876397126043,UK,APT,PF,2,-99.0,8.0,8.0,0.0,0.0
73,UK_APT_PF_3,2018-01-01,2,201711,0.0,201711,73.41954233420141,201711,73.41954233420141,-1,0.0,93.34788258321241,93.34788258321241,UK,APT,PF,3,-99.0,16.0,16.0,0.0,0.0
74,UK_APT_PN_1,2018-01-01,2,201711,15.764280319213867,201711,27.659283732958837,201711,43.42356405217271,-1,9.3735,33.783899933764836,43.157399933764836,UK,APT,PN,1,-99.0,36.0,36.0,-6.390780319213867,6.390780319213867
75,UK_APT_PN_2,2018-01-01,2,201711,38.978431701660156,201711,43.76731772522983,201711,82.74574942688999,-1,25.2846,22.938178873584317,48.22277887358431,UK,APT,PN,2,3.0,36.0,36.0,-13.693831701660155,13.693831701660155
76,UK_APT_PN_3,2018-01-01,2,201711,75.51465606689453,201711,103.93742533522152,201711,179.45208140211605,-1,40.77540000000001,101.52689430116308,142.3022943011631,UK,APT,PN,3,4.0,36.0,36.0,-34.73925606689452,34.73925606689452
77,UK_APT_PN_4,2018-01-01,2,201711,62.731021881103516,201711,53.27390802941111,201711,116.00492991051462,-1,19.3016,50.893721205819816,70.19532120581982,UK,APT,PN,4,4.0,36.0,36.0,-43.429421881103515,43.429421881103515
78,UK_C&G_C&G_1,2018-01-01,2,201711,15.953655242919922,201711,22.541432582872627,201711,38.49508782579255,-1,13.0338,23.202826977103,36.236626977103,UK,C&G,C&G,1,-99.0,36.0,36.0,-2.9198552429199225,2.9198552429199225
79,UK_C&G_C&G_2,2018-01-01,2,201711,19.834716796875,201711,39.384195466813075,201711,59.218912263688075,-1,23.0355,16.296186628825367,39.331686628825366,UK,C&G,C&G,2,1.0,36.0,36.0,3.200783203124999,3.200783203124999
80,UK_C&G_C&G_3,2018-01-01,2,201711,69.34361267089844,201711,105.90204843296486,201711,175.2456611038633,-1,51.3027,78.85702436634183,130.15972436634183,UK,C&G,C&G,3,4.0,36.0,36.0,-18.040912670898436,18.040912670898436
81,UK_C&G_C&G_4,2018-01-01,2,201711,37.7379035949707,201711,56.72632788985216,201711,94.46423148482286,-1,22.372,40.618356525510336,62.99035652551034,UK,C&G,C&G,4,1.0,36.0,36.0,-15.365903594970703,15.365903594970703
82,ANZ_APT_PF_1,2018-02-01,3,201711,22.938255310058594,201711,38.61375676328139,201711,61.55201207333998,-1,9.3654,55.694828331322135,65.06022833132215,ANZ,APT,PF,1,-3.0,37.0,37.0,-13.572855310058594,13.572855310058594
83,ANZ_APT_PF_2,2018-02-01,3,201711,34.88093566894531,201711,62.37396678075759,201711,97.25490244970291,-1,14.8302,55.26249521938126,70.09269521938126,ANZ,APT,PF,2,5.0,37.0,37.0,-20.050735668945315,20.050735668945315
84,ANZ_APT_PF_3,2018-02-01,3,201711,97.53883361816406,201711,152.061278260456,201711,249.60011187862005,-1,39.4245,157.430001303398,196.85450130339802,ANZ,APT,PF,3,7.0,37.0,37.0,-58.11433361816406,58.11433361816406
85,ANZ_APT_PF_4,2018-02-01,3,201711,45.97099304199219,201711,63.42663316231711,201711,109.39762620430929,-1,18.0954,70.92537542534272,89.0207754253427,ANZ,APT,PF,4,7.0,28.0,28.0,-27.875593041992186,27.875593041992186
86,ANZ_APT_PN_1,2018-02-01,3,201711,40.69537353515625,201711,48.19829528967849,201711,88.89366882483475,-1,14.5431,73.4069879287243,87.95008792872429,ANZ,APT,PN,1,9.0,37.0,37.0,-26.152273535156247,26.152273535156247
87,ANZ_APT_PN_2,2018-02-01,3,201711,60.01073455810547,201711,99.71821781611997,201711,159.72895237422546,-1,39.9285,87.62098171581991,127.54948171581994,ANZ,APT,PN,2,12.0,37.0,37.0,-20.08223455810547,20.08223455810547
88,ANZ_APT_PN_3,2018-02-01,3,201711,162.06346130371094,201711,218.0835162811816,201711,380.1469775848925,-1,83.6676,273.9552181333036,357.62281813330355,ANZ,APT,PN,3,17.0,37.0,37.0,-78.39586130371094,78.39586130371094
89,ANZ_APT_PN_4,2018-02-01,3,201711,77.65723419189453,201711,216.17552399154326,201711,293.8327581834378,-1,36.9162,174.91140664196254,211.82760664196246,ANZ,APT,PN,4,17.0,37.0,37.0,-40.74103419189453,40.74103419189453
90,ANZ_KC_GD_1,2018-02-01,3,201711,0.0,201711,9.870486133199762,201711,9.870486133199762,-1,0.0,4.6481042513942885,4.6481042513942885,ANZ,KC,GD,1,-99.0,37.0,37.0,0.0,0.0
91,ANZ_KC_GD_2,2018-02-01,3,201711,0.0,201711,9.701448422201953,201711,9.701448422201953,-1,0.0,5.5050527358053625,5.5050527358053625,ANZ,KC,GD,2,-99.0,37.0,37.0,0.0,0.0
92,ANZ_KC_GD_3,2018-02-01,3,201711,0.0,201711,21.20049351042466,201711,21.20049351042466,-1,0.0,9.622365803134574,9.622365803134574,ANZ,KC,GD,3,-99.0,37.0,37.0,0.0,0.0
93,ANZ_KC_GD_4,2018-02-01,3,201711,0.0,201711,14.05899798198307,201711,14.05899798198307,-1,0.0,8.864898109740166,8.864898109740166,ANZ,KC,GD,4,-99.0,37.0,37.0,0.0,0.0
94,ANZ_KC_GT_1,2018-02-01,3,201711,0.0,201711,23.844207609976174,201711,23.844207609976174,-1,0.0,30.70016983923173,30.70016983923173,ANZ,KC,GT,1,-99.0,37.0,37.0,0.0,0.0
95,ANZ_KC_GT_2,2018-02-01,3,201711,0.0,201711,33.10545852137362,201711,33.10545852137362,-1,0.0,29.201138344752263,29.201138344752263,ANZ,KC,GT,2,-99.0,37.0,37.0,0.0,0.0
96,ANZ_KC_GT_3,2018-02-01,3,201711,0.0,201711,102.19304118871698,201711,102.19304118871698,-1,0.0,78.86942776553518,78.86942776553518,ANZ,KC,GT,3,-99.0,37.0,37.0,0.0,0.0
97,DE_APT_PF_1,2018-02-01,3,201711,12.512486457824707,201711,19.76422605122994,201711,32.27671250905465,-1,8.758399999999998,24.01261927049948,32.77101927049948,DE,APT,PF,1,-3.0,23.0,23.0,-3.754086457824709,3.754086457824709
98,DE_APT_PF_2,2018-02-01,3,201711,25.278427124023438,201711,91.78341909997582,201711,117.06184622399925,-1,13.2328,80.16412597286649,93.39692597286648,DE,APT,PF,2,5.0,37.0,37.0,-12.045627124023438,12.045627124023438
99,DE_APT_PF_PRE,2018-02-01,3,201711,11.618790626525879,201711,34.05136599791279,201711,45.67015662443867,-1,11.2696,34.953127210409285,46.22272721040929,DE,APT,PF,PRE,-3.0,33.0,33.0,-0.3491906265258784,0.3491906265258784
100,DE_APT_PN_1,2018-02-01,3,201711,46.775081634521484,201711,38.397890239146655,201711,85.17297187366813,-1,14.3184,50.967835796727066,65.28623579672707,DE,APT,PN,1,6.0,37.0,37.0,-32.45668163452149,32.45668163452149
101,DE_APT_PN_2,2018-02-01,3,201711,42.83377456665039,201711,126.25395934460232,201711,169.0877339112527,-1,21.9736,118.88780627855024,140.86140627855022,DE,APT,PN,2,8.0,37.0,37.0,-20.86017456665039,20.86017456665039
102,DE_APT_PN_3,2018-02-01,3,201711,57.39946365356445,201711,164.39277278148157,201711,221.79223643504602,-1,21.7216,180.98706679832446,202.70866679832446,DE,APT,PN,3,6.0,37.0,37.0,-35.67786365356446,35.67786365356446
103,DE_APT_PN_4,2018-02-01,3,201711,60.15394973754883,201711,232.1544169400735,201711,292.3083666776223,-1,41.968,260.7399669774026,302.70796697740263,DE,APT,PN,4,10.0,37.0,37.0,-18.185949737548825,18.185949737548825
104,DE_APT_PN_5,2018-02-01,3,201711,55.38676452636719,201711,148.0260359169527,201711,203.4128004433199,-1,41.7792,136.9829808581853,178.7621808581853,DE,APT,PN,5,9.0,37.0,37.0,-13.607564526367184,13.607564526367184
105,DE_APT_PN_PRE,2018-02-01,3,201711,41.28303909301758,201711,37.202452346657786,201711,78.48549143967537,-1,16.7752,40.28041420364154,57.05561420364154,DE,APT,PN,PRE,5.0,37.0,37.0,-24.507839093017576,24.507839093017576
106,NL_NC_PN_1,2018-02-01,3,201711,13.887227058410645,201711,103.06247150375536,201711,116.949698562166,-1,6.541599999999999,99.48014148576237,106.02174148576236,NL,NC,PN,1,-5.0,37.0,37.0,-7.345627058410646,7.345627058410646
107,NL_NC_PN_2,2018-02-01,3,201711,30.16871452331543,201711,127.3539454963094,201711,157.52266001962482,-1,12.0216,100.86126261867628,112.8828626186763,NL,NC,PN,2,-4.0,37.0,37.0,-18.14711452331543,18.14711452331543
108,NL_NC_PN_3,2018-02-01,3,201711,40.48764419555664,201711,87.27876730353582,201711,127.76641149909246,-1,9.9808,78.96228766437731,88.94308766437729,NL,NC,PN,3,5.0,37.0,37.0,-30.50684419555664,30.50684419555664
109,NL_NC_PN_4,2018-02-01,3,201711,48.138427734375,201711,216.75480477449977,201711,264.8932325088748,-1,30.4112,197.82120621426063,228.23240621426064,NL,NC,PN,4,16.0,37.0,37.0,-17.727227734375,17.727227734375
110,NL_NC_PN_5,2018-02-01,3,201711,34.34548568725586,201711,130.46861313890201,201711,164.81409882615787,-1,18.576,107.36206110496073,125.93806110496072,NL,NC,PN,5,14.0,37.0,37.0,-15.769485687255859,15.769485687255859
111,NL_NC_PN_6,2018-02-01,3,201711,0.0,201711,42.80284139524376,201711,42.80284139524376,-1,0.0,44.07342020209227,44.07342020209227,NL,NC,PN,6,-99.0,37.0,37.0,0.0,0.0
112,UK_APT_PF_1,2018-02-01,3,201711,0.0,201711,12.525458907408513,201711,12.525458907408513,-1,0.0,19.06491028602272,19.06491028602272,UK,APT,PF,1,-99.0,12.0,12.0,0.0,0.0
113,UK_APT_PF_2,2018-02-01,3,201711,0.0,201711,14.568117371402634,201711,14.568117371402634,-1,0.0,14.469342043928535,14.469342043928535,UK,APT,PF,2,-99.0,9.0,9.0,0.0,0.0
114,UK_APT_PF_3,2018-02-01,3,201711,0.0,201711,54.954363804689194,201711,54.954363804689194,-1,0.0,60.2441143183968,60.2441143183968,UK,APT,PF,3,-99.0,17.0,17.0,0.0,0.0
115,UK_APT_PN_1,2018-02-01,3,201711,16.28316307067871,201711,26.05461881106375,201711,42.33778188174246,-1,10.4292,18.897243145573114,29.32644314557312,UK,APT,PN,1,-99.0,37.0,37.0,-5.853963070678711,5.853963070678711
