country,sku_wo_pkg,brand,tier,stage,stage_3f,date,offtake_di,offtake_eib,offtake_il,sellin_eib,retailer_inv,sellout,sp_inv,sellin_di,isa,osa,price,price_krmb_per_ton_il,value_krmb_il,volume_ton_il,0to6_month_population,6to12_month_population,12to36_month_population,sellin_il,total_vol_old,if_vol_old,fo_vol_old,gum_vol_old,cl_vol_old,il_vol_old,0to6_month_population_old,6to12_month_population_old,12to36_month_population_old,uprep_old,upre_old,spre_old,mainstream_old,APT_si,C&G_si,Feihe_si,Friso_si,KC_si,NC_si,Weyth_si,brand_si,raw,brand_price,anp,tp,rebate,tp_rebate,sc_anp,sc_ts,total_vol,if_vol,fo_vol,gum_vol,cl_vol,il_vol,uprep,upre,spre,mainstream
ANZ,ANZ_KC_GD_3,KC,GD,3,GUM,1/1/2015,0,82.53485883,82.53485883,0,,0,,0,,,187.5230577,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,58465,1/1/2015,237.6230742,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
ANZ,ANZ_KC_GD_4,KC,GD,4,GUM,1/1/2015,0,37.27489396,37.27489396,0,,0,,0,,,205.9464263,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,58465,1/1/2015,237.6230742,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
ANZ,ANZ_KC_GT_1,KC,GT,1,IF,1/1/2015,0,15.74285734,15.74285734,0,,0,,0,,,318.0763278,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,58465,1/1/2015,237.6230742,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
ANZ,ANZ_KC_GT_2,KC,GT,2,FO,1/1/2015,0,35.14221161,35.14221161,0,,0,,0,,,304.6739899,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,58465,1/1/2015,237.6230742,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
ANZ,ANZ_KC_GT_3,KC,GT,3,GUM,1/1/2015,0,17.66342017,17.66342017,0,,0,,0,,,311.9490378,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,58465,1/1/2015,237.6230742,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
DE,DE_APT_PF_1,APT,PF,1,IF,1/1/2015,0,5.646287121,5.646287121,0,,0,,0,,,279.9707296,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,184110,1/1/2015,244.4026269,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
DE,DE_APT_PF_2,APT,PF,2,FO,1/1/2015,0,19.03098457,19.03098457,0,,0,,0,,,260.3849624,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,184110,1/1/2015,244.4026269,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
DE,DE_APT_PF_PRE,APT,PF,PRE,IF,1/1/2015,0,8.360268444,8.360268444,0,,0,,0,,,281.4867972,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,184110,1/1/2015,244.4026269,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
DE,DE_APT_PN_1,APT,PN,1,IF,1/1/2015,0,177.8702499,177.8702499,0,,0,,0,,,231.1564574,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,184110,1/1/2015,244.4026269,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
DE,DE_APT_PN_2,APT,PN,2,FO,1/1/2015,0,218.1335148,218.1335148,0,,0,,0,,,232.6801618,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,184110,1/1/2015,244.4026269,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
DE,DE_APT_PN_3,APT,PN,3,FO,1/1/2015,0,215.4793064,215.4793064,0,,0,,0,,,230.2477916,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,184110,1/1/2015,244.4026269,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
DE,DE_APT_PN_4,APT,PN,4,GUM,1/1/2015,0,208.3846156,208.3846156,0,,0,,0,,,273.2154201,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,184110,1/1/2015,244.4026269,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
DE,DE_APT_PN_5,APT,PN,5,GUM,1/1/2015,0,231.2017226,231.2017226,0,,0,,0,,,270.1932861,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,184110,1/1/2015,244.4026269,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
