,sku_wo_pkg,date,horizon,date_when_predicting_x,yhat_di_calib,date_when_predicting_y,yhat_eib_calib,date_when_predicting,yhat_il_calib,fold,target_di,target_eib,target_il
0,ANZ_APT_PF_1,2017-12-01,1,201711,16.150697708129883,201711,52.23575977089319,201711,68.38645747902308,-1,10.9503,72.56713794,83.51743794
1,ANZ_APT_PF_2,2017-12-01,1,201711,35.540794372558594,201711,74.80651964756255,201711,110.34731402012115,-1,22.0536,82.44959577,104.5031958
2,ANZ_APT_PF_3,2017-12-01,1,201711,118.99312591552734,201711,193.34672913725345,201711,312.33985505278076,-1,73.1682,189.3267604,262.4949604
3,ANZ_APT_PF_4,2017-12-01,1,201711,63.042179107666016,201711,85.25312250664409,201711,148.29530161431012,-1,29.5425,103.31604499999999,132.858545
4,ANZ_APT_PN_1,2017-12-01,1,201711,34.800392150878906,201711,59.660686070954924,201711,94.46107822183383,-1,19.9377,77.86485529,97.80255529
5,ANZ_APT_PN_2,2017-12-01,1,201711,86.55081176757812,201711,96.48122496266326,201711,183.03203673024137,-1,77.8725,87.95355651,165.8260565
6,ANZ_APT_PN_3,2017-12-01,1,201711,238.59909057617188,201711,324.23736026283655,201711,562.8364508390084,-1,254.3121,230.83016830000003,485.1422683
7,ANZ_APT_PN_4,2017-12-01,1,201711,170.99349975585938,201711,278.3833521827176,201711,449.376851938577,-1,141.5538,186.30105659999998,327.8548566
8,ANZ_KC_GD_1,2017-12-01,1,201711,0.0,201711,6.334077522923147,201711,6.334077522923147,-1,0.0,8.035033699,8.035033699
9,ANZ_KC_GD_2,2017-12-01,1,201711,0.0,201711,9.764762462337053,201711,9.764762462337053,-1,0.0,12.43688221,12.43688221
10,ANZ_KC_GD_3,2017-12-01,1,201711,0.0,201711,23.412135798058163,201711,23.412135798058163,-1,0.0,27.4738312,27.4738312
11,ANZ_KC_GD_4,2017-12-01,1,201711,0.0,201711,13.5571938255991,201711,13.5571938255991,-1,0.0,22.56514085,22.56514085
12,ANZ_KC_GT_1,2017-12-01,1,201711,0.0,201711,32.54386181026337,201711,32.54386181026337,-1,0.0,54.60022614,54.60022614
13,ANZ_KC_GT_2,2017-12-01,1,201711,0.0,201711,45.17602226855889,201711,45.17602226855889,-1,0.0,63.87345769,63.87345769
14,ANZ_KC_GT_3,2017-12-01,1,201711,0.0,201711,133.59235371535704,201711,133.59235371535704,-1,0.0,156.9939741,156.9939741
15,DE_APT_PF_1,2017-12-01,1,201711,12.61925220489502,201711,20.73246280827687,201711,33.35171501317189,-1,9.7608,25.60837454,35.36917454
16,DE_APT_PF_2,2017-12-01,1,201711,15.457481384277344,201711,135.5806894591009,201711,151.03817084337825,-1,2.1448,137.3015046,139.4463046
17,DE_APT_PF_PRE,2017-12-01,1,201711,11.62150764465332,201711,41.876016892483044,201711,53.497524537136364,-1,5.812,64.90216359,70.71416359
18,DE_APT_PN_1,2017-12-01,1,201711,46.22525405883789,201711,50.75674404814663,201711,96.98199810698452,-1,26.4112,73.37166424,99.78286424
19,DE_APT_PN_2,2017-12-01,1,201711,57.34431457519531,201711,181.48663694363125,201711,238.83095151882657,-1,27.4144,140.6540537,168.06845369999996
20,DE_APT_PN_3,2017-12-01,1,201711,64.65049743652344,201711,226.93453928171385,201711,291.5850367182373,-1,23.3008,194.5775941,217.8783941
21,DE_APT_PN_4,2017-12-01,1,201711,157.46360778808594,201711,302.2869842501271,201711,459.75059203821303,-1,69.4504,328.42067149999997,397.87107149999997
22,DE_APT_PN_5,2017-12-01,1,201711,83.7350082397461,201711,223.06551539212435,201711,306.8005236318704,-1,39.7536,235.8546246,275.6082246
23,DE_APT_PN_PRE,2017-12-01,1,201711,44.71114730834961,201711,47.26409988874632,201711,91.97524719709594,-1,24.728,62.47750172,87.20550172
24,NL_NC_PN_1,2017-12-01,1,201711,10.859823226928711,201711,135.98209045450992,201711,146.84191368143863,-1,6.0608,133.3818503,139.4426503
25,NL_NC_PN_2,2017-12-01,1,201711,14.102436065673828,201711,161.50413040286497,201711,175.6065664685388,-1,4.2712,155.3373319,159.6085319
26,NL_NC_PN_3,2017-12-01,1,201711,27.48258399963379,201711,130.76997995743093,201711,158.25256395706472,-1,5.9384,99.99577274,105.93417269999999
27,NL_NC_PN_4,2017-12-01,1,201711,78.51203155517578,201711,264.63361160961995,201711,343.14564316479573,-1,27.691999999999997,253.6195531,281.3115531
28,NL_NC_PN_5,2017-12-01,1,201711,60.83596420288086,201711,177.03271446073148,201711,237.86867866361234,-1,20.1656,154.7177499,174.8833499
29,NL_NC_PN_6,2017-12-01,1,201711,0.0,201711,58.76632247269664,201711,58.76632247269664,-1,0.0,70.32296222,70.32296222
30,UK_APT_PF_1,2017-12-01,1,201711,0.0,201711,19.215263137272803,201711,19.215263137272803,-1,0.0,18.51257042,18.51257042
31,UK_APT_PF_2,2017-12-01,1,201711,0.0,201711,19.347740129092756,201711,19.347740129092756,-1,0.0,17.26828702,17.26828702
32,UK_APT_PF_3,2017-12-01,1,201711,0.0,201711,71.37606050790802,201711,71.37606050790802,-1,0.0,74.02626811,74.02626811
33,UK_APT_PN_1,2017-12-01,1,201711,14.532805442810059,201711,22.874448463593115,201711,37.40725390640317,-1,9.0963,23.01516186,32.11146186
34,UK_APT_PN_2,2017-12-01,1,201711,26.810226440429688,201711,48.59510640409977,201711,75.40533284452945,-1,25.7823,24.02282568,49.80512568
35,UK_APT_PN_3,2017-12-01,1,201711,97.56562805175781,201711,110.7040608796426,201711,208.26968893140042,-1,30.5343,92.67820151,123.21250149999999
